Player,Year,Quarter,Min,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,
D. Lillard,2014,OT1,4,POR,23,3,2,1,5,5,1,4,25,0,1,0,3,3,100,0,1,1,0,0,0,0,0,6.2,0,0,8,,,
D. Lillard,2014,OT1,3,POR,23,2,1,1,4,5,1,4,25,0,1,0,3,3,100,0,0,0,0,0,0,0,0,5,0,0,1,,,
D. Lillard,2014,OT1,2,POR,23,2,1,1,3,5,1,3,33.3,0,1,0,3,3,100,0,0,0,0,0,0,0,0,5,0,0,-2,,,
D. Lillard,2014,OT1,1,POR,23,2,1,1,2,5,1,3,33.3,0,1,0,3,3,100,0,0,0,0,0,0,0,0,5,0,0,-2,,,
D. Lillard,2014,OT1,0.5,POR,23,2,1,1,1,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,2,0,0,-3,,,
K. Durant,2019,4,5,GSW,30,3,0,3,6,4,2,4,50,0,1,0,0,0,0,0,1,1,1,0,0,0,3,6.7,0,0,0,,,
K. Durant,2019,4,4,GSW,30,3,0,3,5,4,2,4,50,0,1,0,0,0,0,0,1,1,1,0,0,0,3,6.7,0,0,2,,,
K. Durant,2019,4,3,GSW,30,3,0,3,4,2,1,3,33.3,0,1,0,0,0,0,0,0,0,1,0,0,0,2,3.5,0,0,-1,,,
K. Durant,2019,4,2,GSW,30,2,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,1,,,
K. Durant,2019,4,1,GSW,30,2,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,1,,,
K. Durant,2019,4,0.5,GSW,30,2,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,,,
K. Durant,2018,4,5,GSW,29,4,2,2,8,4,1,3,33.3,0,1,0,2,2,100,0,0,0,0,0,0,1,0,7,2,0,-5,,,
K. Durant,2018,4,4,GSW,29,4,2,2,7,2,0,1,0,0,0,0,2,2,100,0,0,0,0,0,0,1,0,5,2,0,-4,,,
K. Durant,2018,4,3,GSW,29,4,2,2,6,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,1,0,5,2,0,-3,,,
K. Durant,2018,4,2,GSW,29,3,1,2,4,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,1,0,5,1,0,-2,,,
K. Durant,2018,4,1,GSW,29,3,1,2,3,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,2,1,0,-,,,
K. Durant,2018,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Durant,2017,4,5,GSW,28,2,2,0,4,5,2,3,66.7,1,2,50,0,0,0,0,3,3,0,0,0,0,0,8.6,0,0,3,,,
K. Durant,2017,4,4,GSW,28,2,2,0,3,3,1,2,50,1,2,50,0,0,0,0,3,3,0,0,0,0,0,6.6,0,0,3,,,
K. Durant,2017,4,3,GSW,28,2,2,0,2,3,1,2,50,1,2,50,0,0,0,0,2,2,0,0,0,0,0,5.4,0,0,6,,,
K. Durant,2017,4,2,GSW,28,2,2,0,1,3,1,2,50,1,2,50,0,0,0,0,2,2,0,0,0,0,0,5.4,0,0,8,,,
K. Durant,2017,4,1,GSW,28,1,1,0,0,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,4.2,0,0,3,,,
K. Durant,2017,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Durant,2016,4,5,OKC,27,4,1,3,10,2,0,8,0,0,2,0,2,2,100,0,2,2,0,0,0,0,1,4.4,0,0,-12,,,
K. Durant,2016,4,4,OKC,27,4,1,3,9,2,0,7,0,0,2,0,2,2,100,0,2,2,0,0,0,0,0,4.4,0,0,-7,,,
K. Durant,2016,4,3,OKC,27,4,1,3,8,1,0,7,0,0,2,0,1,1,100,0,2,2,0,0,0,0,0,3.4,0,0,-8,,,
K. Durant,2016,4,2,OKC,27,4,1,3,6,1,0,6,0,0,2,0,1,1,100,0,2,2,0,0,0,0,0,3.4,0,0,-11,,,
K. Durant,2016,4,1,OKC,27,4,1,3,2,1,0,3,0,0,1,0,1,1,100,0,2,2,0,0,0,0,0,3.4,0,0,-8,,,
K. Durant,2016,4,0.5,OKC,27,3,0,3,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-10,,,
K. Durant,2014,4,5,OKC,25,7,2,5,16,8,2,7,28.6,0,4,0,4,5,80,1,2,3,1,3,1,0,2,13.1,4,0,-1,,,
K. Durant,2014,4,4,OKC,25,7,2,5,16,8,2,7,28.6,0,4,0,4,5,80,1,2,3,1,3,1,0,2,13.1,4,0,2,,,
K. Durant,2014,4,3,OKC,25,7,2,5,13,8,2,6,33.3,0,4,0,4,5,80,1,2,3,1,3,1,0,1,13.1,4,0,2,,,
K. Durant,2014,4,2,OKC,25,7,2,5,11,8,2,5,40,0,3,0,4,5,80,0,2,2,1,3,1,0,1,11.9,4,0,8,,,
K. Durant,2014,4,1,OKC,25,7,2,5,6,5,1,3,33.3,0,2,0,3,3,100,0,0,0,1,3,1,0,1,6.5,4,0,7,,,
K. Durant,2014,4,0.5,OKC,25,7,2,5,3,1,0,1,0,0,1,0,1,1,100,0,0,0,0,2,0,0,0,-1,4,0,8,,,
K. Durant,2013,4,5,OKC,24,8,3,5,17,20,8,16,50,2,4,50,2,3,66.7,0,6,6,0,2,0,2,1,31.2,4,0,4,,,
K. Durant,2013,4,4,OKC,24,8,3,5,14,19,8,16,50,2,4,50,1,2,50,0,6,6,0,1,0,1,1,28.2,4,0,6,,,
K. Durant,2013,4,3,OKC,24,8,3,5,11,15,6,12,50,2,3,66.7,1,2,50,0,5,5,0,1,0,0,1,20,4,0,4,,,
K. Durant,2013,4,2,OKC,24,7,2,5,8,10,4,8,50,1,2,50,1,2,50,0,4,4,0,1,0,0,1,13.8,4,0,2,,,
K. Durant,2013,4,1,OKC,24,6,2,4,4,9,4,7,57.1,1,1,100,0,0,0,0,3,3,0,1,0,0,1,11.6,3,0,3,,,
K. Durant,2013,4,0.5,OKC,24,4,1,3,2,4,2,3,66.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.2,1,0,1,,,
K. Durant,2012,4,5,OKC,23,9,4,5,16,20,7,12,58.3,1,3,33.3,5,7,71.4,1,2,3,1,2,2,0,2,29.1,3,0,2,,,
K. Durant,2012,4,4,OKC,23,9,4,5,13,16,6,10,60,1,3,33.3,3,5,60,1,2,3,1,2,2,0,2,25.1,3,0,2,,,
K. Durant,2012,4,3,OKC,23,9,4,5,12,16,6,10,60,1,3,33.3,3,5,60,1,2,3,1,2,2,0,1,25.1,3,0,4,,,
K. Durant,2012,4,2,OKC,23,9,4,5,10,15,6,10,60,1,3,33.3,2,2,100,1,1,2,1,1,2,0,1,23.9,3,0,8,,,
K. Durant,2012,4,1,OKC,23,9,4,5,5,9,3,5,60,1,2,50,2,2,100,1,0,1,1,1,1,0,0,13.7,3,0,4,,,
K. Durant,2012,4,0.5,OKC,23,8,3,5,3,7,3,5,60,1,2,50,0,0,0,1,0,1,0,1,0,0,0,7.2,2,0,0,,,
K. Durant,2011,4,5,OKC,22,7,3,4,9,10,3,8,37.5,0,4,0,4,4,100,0,1,1,1,0,0,0,1,12.7,3,0,-1,,,
K. Durant,2011,4,4,OKC,22,7,3,4,9,9,3,8,37.5,0,4,0,3,3,100,0,1,1,1,0,0,0,1,11.7,3,0,0,,,
K. Durant,2011,4,3,OKC,22,7,3,4,9,7,2,6,33.3,0,3,0,3,3,100,0,1,1,1,0,0,0,1,9.7,3,0,-2,,,
K. Durant,2011,4,2,OKC,22,7,3,4,6,7,2,4,50,0,1,0,3,3,100,0,0,0,1,0,0,0,1,8.5,3,0,-1,,,
K. Durant,2011,4,1,OKC,22,6,2,4,3,2,0,2,0,0,1,0,2,2,100,0,0,0,0,0,0,0,1,2,3,0,-6,,,
K. Durant,2011,4,0.5,OKC,22,5,1,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-7,,,
K. Durant,2010,4,5,OKC,21,2,0,2,5,2,0,3,0,0,1,0,2,2,100,0,2,2,0,1,0,0,2,3.4,0,0,3,,,
K. Durant,2010,4,4,OKC,21,2,0,2,4,0,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2,1.4,0,0,2,,,
K. Durant,2010,4,3,OKC,21,2,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0.2,0,0,-3,,,
K. Durant,2010,4,2,OKC,21,2,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,0.2,0,0,-2,,,
